name,specialization,fee,ratings,str_number,gender
Sheila Santos,,60000,5.0,STR39355,Male
Tina Johnson,Oncology,50000,5.0,STR06409,Male
Michael Beck,,30000,2.0,STR61487,Female
Aaron Gilbert,Neurology,45000,1.0,STR83368,Female
Tina Coleman,Gastroenterology,20000,3.0,STR61526,Male
Gregory Vega,Psychiatry,20000,1.0,STR76661,Male
Edwin Li,,65000,,STR15345,Male
Elizabeth Nash,Pediatrics,75000,5.0,STR54959,Female
Chelsea Bradley,Gastroenterology,20000,,STR21032,Male
Kristen Johnson,Dermatology,45000,4.0,STR98958,Male
Annette Goodwin,,100000,5.0,STR12014,Female
Jonathan Hardin,Surgery,35000,5.0,STR67577,Male
Sandra Reeves,Psychiatry,95000,1.0,STR51141,Female
Monica Bishop,Gastroenterology,30000,,STR92807,Female
Olivia Spencer,Neurology,80000,,STR15222,Male
Haley Keller,Dermatology,85000,,STR02604,Male
James Johnson,Radiology,75000,1.0,STR45030,Male
Leslie Patel MD,Radiology,55000,2.0,STR66400,Female
Kristine Johnson,Pediatrics,90000,4.0,STR31790,Female
Katherine Moore,Surgery,100000,2.0,STR53076,Female
John Hester,Dermatology,75000,2.0,STR71403,Male
Ryan Ryan,,70000,5.0,STR49758,Male
Melissa Rocha,Oncology,45000,,STR36689,Male
Ronald Ramirez,Pediatrics,85000,1.0,STR48157,Male
Anthony Charles,Pediatrics,90000,4.0,STR96638,Male
Maria Brown,Gastroenterology,70000,,STR97336,Male
William Short,Psychiatry,50000,2.0,STR47720,Female
Justin Holmes,Radiology,70000,3.0,STR40883,Male
Tammy Pennington,Psychiatry,90000,4.0,STR61445,Female
Patrick Carpenter,,100000,1.0,STR13113,Male
David Taylor,Surgery,65000,5.0,STR17233,Male
Andrea Holmes,Neurology,85000,3.0,STR29091,Male
Brandon Tapia,,80000,1.0,STR76345,Female
Rebecca Lopez,Radiology,90000,2.0,STR98422,Male
Patrick Young,,85000,3.0,STR94172,Female
Jeremy Mcdaniel,,70000,1.0,STR66654,Male
Robert Myers,,35000,1.0,STR59872,Female
George Edwards,Gastroenterology,95000,3.0,STR71480,Female
Rebecca Martin,,75000,,STR01789,Male
Kristy Manning,Endocrinology,95000,4.0,STR05398,Male
Alexander Phillips,Endocrinology,45000,4.0,STR78207,Female
Alexander Evans,Cardiology,70000,3.0,STR47700,Female
Sarah Bell,Radiology,50000,2.0,STR13278,Female
Cathy Campos,,100000,,STR98017,Female
Jamie Olson,Gastroenterology,25000,,STR77291,Male
Joel Foster,Pediatrics,90000,5.0,STR96699,Female
Larry Warren,,75000,4.0,STR02324,Female
Crystal Allen,Oncology,65000,2.0,STR35630,Female
Brian Nelson,,80000,,STR51425,Male
Michael Young,,100000,,STR54698,Male
John Bentley,,65000,5.0,STR57935,Female
Andrea Thomas,Psychiatry,75000,5.0,STR45861,Male
Samuel Burns,Endocrinology,50000,2.0,STR94455,Male
Tammy Barber,,85000,4.0,STR49805,Female
Eric Leach,,75000,2.0,STR86054,Male
Donna Norris,Psychiatry,55000,5.0,STR10668,Male
Michael Charles,Pediatrics,20000,,STR90875,Male
William Smith,Surgery,55000,5.0,STR55082,Male
Daniel Newman,Pediatrics,70000,5.0,STR15165,Female
Ms. Danielle Davidson,Radiology,90000,,STR84284,Female
Julie Moore,Cardiology,80000,5.0,STR01051,Male
Jennifer Smith,Dermatology,35000,4.0,STR71854,Male
Amy Freeman,Cardiology,65000,5.0,STR43268,Female
Jennifer Gay,Gastroenterology,25000,,STR40515,Male
Maria Perkins,Radiology,55000,2.0,STR84333,Male
Kiara Roman,Oncology,85000,1.0,STR04962,Female
Hannah Kennedy,Radiology,70000,,STR18168,Female
Doris Conner,Psychiatry,45000,,STR98648,Male
Mrs. Jessica Juarez,Urology,35000,4.0,STR25317,Female
Kaylee Brown,Radiology,70000,2.0,STR80549,Male
Christopher Walls,,50000,5.0,STR50867,Male
Robert Whitehead,Endocrinology,90000,3.0,STR21680,Male
Paula Richards,Pediatrics,35000,3.0,STR85814,Male
Stacey Baker,Dermatology,25000,,STR73902,Female
Randy Shaw,Endocrinology,95000,,STR57845,Male
Tracy Bray,Endocrinology,45000,2.0,STR94031,Male
Richard Hurst,Pediatrics,90000,1.0,STR80753,Female
Heidi Benjamin,Cardiology,75000,5.0,STR13578,Male
April Reyes,Pediatrics,85000,2.0,STR13589,Male
Dennis Cabrera,Pediatrics,65000,1.0,STR54815,Male
Barry Gonzales,,95000,5.0,STR22054,Male
Christopher Stewart,Pediatrics,75000,,STR16194,Female
Andrew West,Oncology,25000,5.0,STR18106,Female
Jose Cruz,Oncology,50000,5.0,STR68856,Female
Alisha Cooper,,75000,1.0,STR24032,Male
Hannah Ayala,Oncology,20000,5.0,STR50505,Female
Michael Jones,Radiology,85000,4.0,STR59304,Female
Courtney Kennedy,,75000,3.0,STR62061,Male
Dalton Shelton,Cardiology,50000,,STR06518,Male
Cassandra Maxwell,Dermatology,30000,,STR76634,Male
David Rosales,Urology,100000,,STR31353,Male
Jeanette Roberts,Urology,60000,4.0,STR97334,Female
Sharon Garcia,Psychiatry,20000,5.0,STR66806,Female
Amy Carter,Psychiatry,35000,5.0,STR30934,Female
Kristen Grimes,Radiology,100000,2.0,STR96695,Male
Tristan Smith,Radiology,55000,2.0,STR28799,Female
Ian Nielsen,Urology,70000,2.0,STR92465,Male
Carolyn Howell,Pediatrics,60000,2.0,STR87435,Male
Rebecca Gallegos,Endocrinology,70000,5.0,STR56113,Male
Nicholas Vaughn,Endocrinology,70000,1.0,STR93713,Male
Scott Anthony,Gastroenterology,65000,3.0,STR71687,Male
Timothy Hicks,,80000,4.0,STR50984,Male
Dawn Kidd,Gastroenterology,90000,1.0,STR76427,Female
Lauren Sanchez,Gastroenterology,25000,2.0,STR73412,Female
Regina Owens,Neurology,60000,5.0,STR22476,Female
Adam Saunders,Psychiatry,55000,,STR70866,Male
Jessica Lee,Oncology,95000,1.0,STR33755,Female
Christina Ewing,Oncology,45000,3.0,STR82513,Male
Martin Alexander,Oncology,65000,,STR73201,Female
Paul Mason,,70000,4.0,STR70173,Female
Sarah Flores,Cardiology,75000,,STR15888,Male
Edward Bates,Surgery,35000,3.0,STR32721,Male
Daniel Welch,,80000,2.0,STR46017,Male
Stephanie Jackson,,25000,5.0,STR99373,Male
Isaiah Velasquez,Radiology,60000,5.0,STR52800,Female
Jennifer Hunt,Surgery,30000,3.0,STR81701,Male
Ann Lee,Neurology,20000,2.0,STR33849,Male
Tiffany Harris,,80000,4.0,STR34265,Male
Jennifer Schneider,Neurology,60000,1.0,STR17332,Male
Oscar Jackson,,25000,3.0,STR68278,Male
Adam Clark,Psychiatry,50000,5.0,STR05573,Female
Steven Reid,,35000,3.0,STR50921,Male
Shawn Wells,Oncology,70000,2.0,STR35268,Female
Nathan Long,Dermatology,75000,4.0,STR99311,Female
Janice Castro,Cardiology,30000,1.0,STR93834,Male
Sabrina James,Cardiology,20000,,STR02818,Female
Sandra Hardy,Urology,95000,1.0,STR19575,Female
Lisa Odonnell,Gastroenterology,55000,2.0,STR95614,Male
Sue Hill,Gastroenterology,85000,5.0,STR25235,Male
Mike Lopez,,25000,1.0,STR07582,Male
Thomas Villarreal,,35000,1.0,STR23410,Male
Kelli Brown,Cardiology,70000,1.0,STR36008,Male
Emma Thompson,Pediatrics,55000,4.0,STR46489,Female
Lacey Green,Gastroenterology,75000,5.0,STR23704,Female
Lisa Woods,Neurology,80000,,STR15946,Female
Joanne Chang,Radiology,85000,3.0,STR16738,Male
Anthony Kelly,Pediatrics,100000,3.0,STR13559,Male
Lucas Gregory,Radiology,60000,,STR31637,Male
Jonathan Harris,Surgery,35000,1.0,STR01878,Female
Keith Wolfe,Neurology,20000,1.0,STR74436,Male
Dennis Rodgers,Psychiatry,55000,5.0,STR42436,Male
Jason Thompson,,70000,,STR07414,Male
John Aguilar DVM,Endocrinology,70000,1.0,STR97408,Female
Robin Nelson,Oncology,100000,2.0,STR20797,Male
Sean Gallagher,,50000,,STR60388,Female
Geoffrey Page,,100000,4.0,STR90790,Female
Debra Jackson,,90000,1.0,STR83696,Female
Helen Vargas,Neurology,100000,3.0,STR38346,Female
Margaret Ramirez,Pediatrics,100000,2.0,STR52066,Male
Elizabeth Cooley,Gastroenterology,75000,5.0,STR96198,Male
Phillip Thompson,Neurology,65000,,STR71366,Male
Barbara Roberts,,25000,3.0,STR73427,Male
Alison Jones,Psychiatry,55000,,STR97045,Male
Stephen Pittman,Neurology,95000,5.0,STR42657,Male
Valerie Ramsey,Dermatology,85000,,STR95923,Male
Tracy Powell,Gastroenterology,85000,1.0,STR60633,Male
Rebecca Brown,,50000,3.0,STR97190,Female
Christopher Mckinney,Neurology,80000,,STR49429,Male
Lindsay Allen,,60000,2.0,STR10847,Female
Yolanda Lloyd,Cardiology,35000,5.0,STR78834,Male
Steven Allison,Surgery,35000,3.0,STR98358,Female
Oscar Hall,Neurology,35000,2.0,STR65900,Female
Judith Wilson,Pediatrics,65000,3.0,STR07723,Male
Maurice Wilkerson,Surgery,45000,4.0,STR22097,Male
David Henson,Urology,25000,,STR43881,Male
Anthony Molina,Oncology,100000,1.0,STR08611,Female
Joshua Bowers,Dermatology,60000,,STR46745,Male
Heather Robinson,Urology,45000,,STR01033,Female
Jose Harrison,Radiology,75000,2.0,STR41830,Male
Melinda Copeland,Neurology,75000,,STR76144,Male
Robert Brandt,Neurology,45000,,STR90548,Male
Kellie Williams,Dermatology,95000,5.0,STR50919,Male
Anne Stephenson,Cardiology,100000,,STR80054,Male
Kristin Boyd,Pediatrics,45000,1.0,STR86126,Female
Patricia Hopkins,Surgery,80000,5.0,STR29252,Female
Patricia Barr,,50000,1.0,STR07986,Male
Melissa White,Dermatology,30000,4.0,STR70647,Male
Mr. John Ramirez,Gastroenterology,70000,,STR33058,Male
Dr. Eric Chase,Oncology,95000,3.0,STR64960,Female
Jessica Collins,Radiology,95000,3.0,STR56999,Male
Jennifer Garza,Surgery,60000,,STR24263,Male
Kathleen Paul,Psychiatry,90000,2.0,STR25707,Male
Brooke Hopkins,,70000,4.0,STR11180,Male
William Colon,Psychiatry,75000,,STR21098,Male
Scott Brown,Endocrinology,25000,1.0,STR87582,Male
Kevin Lewis,Psychiatry,60000,,STR00551,Male
Melissa Moreno,,65000,1.0,STR53571,Female
Kelly Barrera,,35000,3.0,STR62072,Female
Christian Conrad,Cardiology,60000,5.0,STR18101,Male
Brianna Singh,Cardiology,45000,2.0,STR93096,Female
Tricia Murphy,Pediatrics,55000,,STR93973,Female
James Nelson,Urology,65000,4.0,STR97061,Male
Brian Wagner,Dermatology,75000,,STR26322,Female
John Smith,Surgery,75000,,STR68017,Male
Amy Fisher,,45000,4.0,STR90081,Female
Emily Carter,Dermatology,45000,3.0,STR30888,Female
Jamie Howell,Endocrinology,75000,3.0,STR63386,Female
Casey Gross,Oncology,95000,4.0,STR71730,Female
Lisa Barnes,Radiology,80000,2.0,STR45140,Female
Peter Sanders,Pediatrics,55000,3.0,STR28817,Male
John Miller,,100000,2.0,STR43718,Male
Lisa Jones,Cardiology,70000,1.0,STR24772,Male
Andrew Wallace,Psychiatry,80000,1.0,STR56268,Male
Ronald Carson,Radiology,65000,3.0,STR55676,Male
Jerome Ballard,,20000,5.0,STR50311,Female
Carmen Hawkins,Surgery,75000,,STR33251,Male
Lindsay Hendricks,Cardiology,80000,4.0,STR48990,Female
Levi Fitzpatrick,,50000,4.0,STR38878,Female
David Thompson,,30000,4.0,STR61514,Female
Luis Quinn,Cardiology,45000,,STR62662,Female
Patrick Edwards,Neurology,30000,,STR73930,Female
Melissa Davis,Neurology,65000,4.0,STR79798,Male
Sherri King,Psychiatry,60000,5.0,STR09784,Female
Katherine Thompson,Neurology,55000,2.0,STR85904,Female
Andrea Carroll,,20000,2.0,STR30876,Female
Michael Jefferson,Psychiatry,60000,,STR32523,Male
Rebekah Sandoval,Urology,30000,2.0,STR52278,Female
Matthew Garcia,Oncology,50000,2.0,STR29086,Male
Dawn Smith,Surgery,100000,1.0,STR84364,Male
Daniel French,Gastroenterology,95000,2.0,STR33605,Male
Julie Cook,Urology,85000,,STR37585,Female
Sharon Palmer,Surgery,100000,3.0,STR62968,Male
Jay Ayala,,50000,,STR22496,Male
Shannon Callahan,,95000,,STR78252,Male
Brian Russell,Radiology,75000,,STR67481,Female
Jillian Rowe,,85000,4.0,STR00719,Female
Crystal Green,,95000,4.0,STR64299,Female
Jessica Guerrero,,20000,,STR24940,Female
Paul Coleman,Psychiatry,65000,2.0,STR57969,Female
Jerry Guerrero,Radiology,45000,2.0,STR65138,Male
Melanie Walton,,45000,,STR16251,Female
Jennifer Wright,Psychiatry,35000,4.0,STR67671,Male
Diana Anderson,,45000,3.0,STR48103,Male
Mike Bailey,Surgery,60000,1.0,STR97932,Female
Jennifer Blake,,90000,5.0,STR94868,Male
John Cobb,Dermatology,60000,1.0,STR74358,Male
Jennifer Bailey,Gastroenterology,55000,,STR97072,Female
Travis Wright,,55000,1.0,STR36878,Female
Joseph Lewis,Cardiology,55000,4.0,STR10536,Female
Dylan Nguyen,,75000,1.0,STR92397,Female
Jack Rivas,Urology,100000,3.0,STR99307,Female
Mr. David Fox,Radiology,55000,5.0,STR03582,Female
Katie Graham,Gastroenterology,75000,4.0,STR39798,Male
Robin Ortega,,90000,3.0,STR46714,Female
Alexandra Griffin,Gastroenterology,75000,,STR96631,Male
Patricia Boyd,Surgery,85000,2.0,STR67206,Male
Alvin Cabrera,Neurology,75000,3.0,STR25013,Male
Frank Downs,,45000,3.0,STR78888,Male
Larry Sloan,Endocrinology,35000,3.0,STR75691,Female
Chris Martinez,Endocrinology,85000,1.0,STR52549,Male
Christina Donovan,,75000,1.0,STR91990,Male
Daniel Boyd,Cardiology,35000,,STR87153,Male
Jeremy King,Neurology,35000,,STR56939,Female
Johnny Sellers,Urology,30000,,STR90425,Female
Lori Foley,,45000,1.0,STR88223,Male
Brandon Meyers MD,Surgery,65000,4.0,STR98737,Male
Katie Lee,,95000,2.0,STR95056,Male
Jamie Thomas,Cardiology,55000,1.0,STR34884,Female
Anna Carter,Gastroenterology,95000,3.0,STR53829,Male
Brandi Johnson,,50000,2.0,STR09978,Male
Leah Smith,Oncology,85000,4.0,STR52722,Female
Michelle Johnson,,60000,2.0,STR44681,Female
Peter Fox,Radiology,90000,,STR51240,Male
Tammy Campbell,,45000,3.0,STR89680,Male
Maria Whitaker,Oncology,20000,3.0,STR97103,Female
Gabriel Parker,,50000,1.0,STR84043,Female
Adam Mcdonald,Psychiatry,80000,3.0,STR44217,Female
Andrew Brandt,Cardiology,75000,,STR15216,Male
John Reyes,,90000,1.0,STR19813,Female
Kelsey Green,,55000,2.0,STR70750,Male
Robert Singleton,Cardiology,50000,,STR30418,Male
Douglas Hall,Radiology,65000,,STR93050,Female
Jamie Webb,Gastroenterology,55000,3.0,STR42157,Female
Tiffany Casey,,30000,3.0,STR66110,Female
Joseph Tucker,,70000,,STR71607,Male
Andrew Golden,,95000,4.0,STR14505,Male
Thomas Duncan,Radiology,25000,5.0,STR84054,Male
Craig Lopez,,65000,3.0,STR92983,Male
Shane FerNULLdez,Psychiatry,95000,,STR27841,Female
Christopher Nguyen,Gastroenterology,50000,3.0,STR35615,Female
Heather Taylor,,35000,2.0,STR56325,Male
Michael Andrade,Endocrinology,35000,5.0,STR11172,Male
Mr. Joshua Barrera,Dermatology,45000,1.0,STR12611,Female
NULLcy Walters,Surgery,55000,2.0,STR96287,Female
Michael Lamb,Neurology,45000,,STR14382,Female
Jessica Miller,Dermatology,35000,,STR84475,Female
Briana Wolf,Gastroenterology,20000,2.0,STR80251,Female
Ann Padilla,Gastroenterology,20000,4.0,STR05967,Female
Vicki Vasquez,,25000,1.0,STR68403,Female
Kristine Lopez,,65000,4.0,STR32599,Male
Shari Goodwin,Pediatrics,25000,1.0,STR26076,Female
Andrew Harris,Surgery,75000,5.0,STR46292,Female
Elizabeth Williams,Cardiology,85000,,STR16674,Female
James Hudson,Surgery,20000,2.0,STR76431,Female
Dennis Banks,Endocrinology,60000,4.0,STR99158,Female
Angela Ramsey,,85000,3.0,STR91693,Male
Dr. Michael Morris,Pediatrics,100000,4.0,STR39531,Female
Becky Potter,,35000,,STR16436,Male
Jacob Bates,,95000,,STR98720,Male
Christopher Thompson,,70000,2.0,STR10887,Male
Robert Davis,,50000,4.0,STR90472,Male
Kristi Randall,Surgery,70000,1.0,STR07516,Female
Lindsey Evans,Radiology,100000,3.0,STR55026,Female
Brianna Rodriguez,Gastroenterology,25000,2.0,STR77520,Male
Zachary Mcpherson,Pediatrics,95000,3.0,STR04106,Male
Michael Wagner,Urology,85000,3.0,STR54299,Female
Vickie Brown,Neurology,85000,1.0,STR88486,Male
Daniel Sanders,,45000,1.0,STR77050,Male
Kristen Hall,Dermatology,80000,4.0,STR30130,Male
Jacob Lane,Oncology,80000,,STR84716,Female
Joshua Berry,Oncology,20000,3.0,STR33857,Male
Kayla Wallace,Gastroenterology,65000,,STR62080,Female
Kelsey Marshall,Dermatology,60000,,STR67485,Female
Holly Stokes,,60000,3.0,STR77226,Male
Breanna Sloan,,35000,5.0,STR43827,Female
Laura Crawford,Cardiology,25000,2.0,STR04947,Female
Breanna Ramos,,30000,5.0,STR97077,Male
Andrew Taylor,,100000,5.0,STR92182,Female
Darrell Martinez,Cardiology,45000,2.0,STR28280,Male
Marcus Stevenson,Dermatology,55000,1.0,STR56112,Male
Catherine Ford,Surgery,90000,5.0,STR15771,Male
Patty Williams,,95000,,STR71028,Male
Martin Berg,Surgery,20000,,STR31295,Male
Sara Cole,Pediatrics,60000,1.0,STR47888,Female
Kyle Hicks,,85000,3.0,STR68283,Male
Jacob Campbell,Pediatrics,20000,1.0,STR80099,Male
Tracy Lopez,Endocrinology,20000,,STR59970,Female
Nicole Meadows,,25000,,STR57643,Male
Nicole Garcia,Radiology,60000,2.0,STR10856,Male
Dana Shepherd,Cardiology,90000,1.0,STR33111,Male
Brian Hunter,,30000,3.0,STR21057,Female
Michelle Torres,Oncology,70000,1.0,STR64663,Female
Kaitlyn Graves,Psychiatry,85000,,STR47188,Male
Alex Lucas,Psychiatry,60000,,STR63485,Male
Martin Day,,90000,3.0,STR64534,Female
Heather Brown,,85000,2.0,STR79430,Female
Joseph Rodriguez,Pediatrics,50000,,STR31485,Male
Samuel Avery,Gastroenterology,20000,3.0,STR49332,Male
Desiree Ellis,Neurology,65000,5.0,STR07259,Female
Spencer Gallegos,Surgery,70000,2.0,STR99635,Male
Michaela Phillips,Gastroenterology,85000,,STR22313,Female
Brooke Mccarthy,Neurology,100000,5.0,STR77625,Female
Deborah Hinton,Urology,80000,,STR67390,Female
Philip Gonzales,Cardiology,30000,5.0,STR59943,Male
Ashley Randall,,60000,,STR10877,Female
John Welch,,95000,,STR16083,Male
Candice Thompson,Endocrinology,70000,,STR03155,Male
Joseph Rodriguez,Neurology,35000,3.0,STR85761,Female
Isaac Klein,Cardiology,35000,,STR71789,Male
Billy Sawyer,Psychiatry,60000,5.0,STR28593,Female
Sarah Powers,Dermatology,50000,4.0,STR54585,Male
Tiffany Johnson,Surgery,80000,3.0,STR57520,Male
Daniel Padilla,,25000,2.0,STR25805,Male
Anne Everett,Neurology,95000,4.0,STR56079,Female
Jeffrey Vincent,Pediatrics,60000,4.0,STR19373,Female
Samantha Knight,,35000,,STR36131,Female
